"この時間帯に疲れながらコード書いてて、カタカナをひらがなに変換する時に「str.tr(""ァ-ン"", ""ぁ-ん"")」とか見ると、ウッと来る。","-1"
"いろいろ考えたい気分だけど、(今日7時に起きたから)思ってる以上に頭動いてなくて全然フワッと来ない。","-1"
"バリバリ働きたい系女子と家事したい系専業男子の合コンはそれなりに需要ありそう。","1"
"今年の夏イーちゃんと5泊6日の香港&amp;マカオ旅行行くことになったけど、香港とマカオは去年行ったばっかり。。　まぁ１人で行くのと彼女と行くのじゃ楽しみ方違うしいいかな。一回行ったことあると、計画は立てやすくてイイ感じ。","1"
"FC2動画の週間ランキングと月間ランキングのページのデザインが変わったのが原因で、スクレイピング失敗してサイト落ちてた。　サイトのアクセス数見るに、今日変わった感じだけど、今日気づけて良かった。","1"
"TeXの環境再構築してたら「ナウでヤングな若者はコマンドラインで作業できないので、GUIで全作業ができるTeXShopをインストールする。」っていう記述を見つけて、イラッとした。","-1"
"月間8万PVぐらいならサービス落とそうかなぁとも思うけど、でも次にそこに置きたいサービス思いつかないし、そもそも自分がそのサービス一番使っているので落とせない。","1"
"来週月曜日発表の輪講、発表のスライドだけ作ればいいかと思ったら、論文形式(5ページ程度)の資料も日本語版と英語版で作らないといけないらしいけど、今日知った。。。","-1"
"やっぱり家族のことを考えると安定な仕事の方がいいんだろうなぁと思うし、実際に仕事を始めるとその思いはさらに強くなるんだろうけど、でもやっぱり挑戦し続けたいと思うし、""挑戦""を忘れないようにしないとな。と推定35歳の人からブログでコメントを頂いて思った。","1"
"テストコード途中のままmasterブランチにコミットしちゃった。まぁいいか。もう帰る。","-1"
"なんかMac miniのEthernetとWi-Fi壊れてるっぽくて辛い。USB経由でEthernetつなぐといけるんだけど。","-1"
"そういえば、会社で今使ってるパソコンの電源がコンセントから少し浮いてて、(おそらくそこから電気が空気中に放出されて)座ってる椅子に帯電するから、座ろうとして椅子触るとめっちゃ静電気流れて辛い。","-1"
"インターン定時に終わって帰っても家で一人でパソコンやりたいぼくは、更に逃げ。","-1"
"これから公開の映画で見たいの 悪の教典 と 007 ぐらいしかない。","-1"
"今日の朝からバックアップ始めて、最初の頃はあと15日かかるってなってたのに、あと10時間で終わるらしい。　MacBook Airの世界ではこっちの世界と時間の進む速さが違うらしくて良い感じ。","1"
"Mac miniのHDDには日立のHDDが使われてた。made in Japanが残っててよかった。","1"
"事情によりボクは身体を捧げられなくなった。　肉体だけの乖離は許されない。","-1"
"最近腕立てやってたら腕周りがなんか軽くなった感じがする。シュッシュッって動く感じ(笑","1"
"多分、UNIQLOは機能性重視、g.u.はファッション性重視でやってるんだろうなぁ。","1"
"あーそうか香港ってディズニーランドあるのか！　行ってみたいけどなぁ〜　1人ではなぁ〜　香港でだれかつかまえて一緒に行こうかな","1"
"若干フェロモンとかの影響あるにしても、あんなにいい匂いが体内から出るわけなかった。(当然)","-1"
"「お金に余裕がないと、心にも余裕がない」「女に金は借りるな」　ということだそうです。","1"
"立てるようになった時の写真と共に「この時はまだ重い頭をちょっと支えきれてない」ってコメントがあったから、「最近も頭が重くてうまくベットから起き上がれない」って返しといた。","1"
"今日チョットベター貰ったら不吉なこと起きるし、「留年」の特集なんか貰うんじゃなかった。","-1"
"手で抜くのは難しいけど、邪魔な感じのヒゲを頑張って抜こうとしてるけどうまく抜けなくてすごいストレス溜まる。　でも抜かないで放っておくのも負けた感じがしてイライラするから、ずっと格闘しててどんどんイライラが溜まっていく。","-1"
"両親共に漫画を読まない人なので、漫画を読むという文化を受け継いでいないのである。。。","-1"
"「大切なことはすべて君が教えてくれた」を最初っから最後まで見たら今日半日つぶれた。","-1"
"うわー。明日amazonで買ったの届くんだった。買い物行けないじゃん…　まぁ翌日配送にしてもらうかなー　まぁ明日の気分で決めよ","-1"
"いやー、ほんと可愛いなぁ。　京都来いよ って言ったら親元離れたくないからイヤって拒否られたけど…","1"
"やっぱり一番の感動は処理速度の早さだなぁ。4から変えたから余計に実感出来るんだろうけど","1"
"あ、そういえばiPad(第３世代)をiOS6にしたらSiriが使えるようになった。　iOS5までは音声入力だけしかできんかったけど。","1"
"一生ひたすら「なぜ私は妖精さんに生まれなかったのか」と悩んで生涯を終える人","1"
"黒のツートンいがいと黒いのでは…？？　角度によって結構色が変わるのか…","-1"
"シャワー浴びてきたら9時だった…　寝ないと…寝ないと…寝ないと…　眠くない…","-1"
"WATERWORLDのはアトラクション扱いじゃなくてウォークスルーなんかぁ。　行く気がぁ…　去年みたいにゾンビに敬礼して歩きまわるかなー　でもさすがに一人じゃ恥ずかしいし…笑","-1"
"ご飯食べたい　ってジェスチャーして一緒に行けば良いのでは…！","1"
"心斎橋のApple Storeとか関西の人みんな集まるから結構ヤバイ気がする。前々日ぐらいから陣取ってれば余裕かもしれんけど(笑","-1"
"久しぶりにお隣さんが大きな声出して交尾してる。　動物的でよろしい。","1"
"遊ばないといけないというプレッシャーがかかって心が休まらない感じ結構ヤバイ。","-1"
"試験終わったらFF10やろうと思って10日前ぐらいに中古で買ったんだけど、昨日ぐらいからやりたくてやりたくてウズウズしてる。　試験終わっても色々用事があってきっと出来るのは6日からなんだけどね。","-1"
"オンラインでも問題起こるし、オフラインでも問題起こるし、それらが絡みあった問題も起きるし、ネットがなかった時代に比べて面倒くさい社会になったなぁと思う19歳の夏。","1"
"Volvicのペットボトルは頑丈そうだし、熱湯入れても大丈夫だろうと思ってたけど、入れてみたらひと回り小さくなってキャップしても外から力加えたら漏れちゃったからダメだった。　ペットボトルに熱湯いれたらダメっぽい。","-1"
"後はチームについてか。ってもう既に５枚になってるんだけど…　7枚ぐらいになってもいいよね。概ね5枚だったし…笑","1"
"混ぜたらそれっぽくなったけど、なんかとろみがすごい。まぁ夏だからこんなもんなのかなぁ。","-1"
"このペースだと課題終わるの25:30ぐらいかなぁ。あと1時間で終わらせるぞー","1"
"ツイッターの発言を分析して、その日の気分にあったアイスを持ってきてくれる的なすばらしいサービス。","1"
"きっとこんな感じで国のお偉いさんたちも発言撤回ばっかりしてるんだろう。","1"
"彼女できたり結婚したりしたら一人遊びが十分にできなくなるから、今のうちにたくさん一人遊びしとく。","1"
"そういえばこの前バイト先の新しいPCセットアップしたら爆速で ふえー！！ ってなった。i7のQuad-Coreで周波数3GHzぐらいだったかなぁ。Quad-Core全然違うわ。","1"
"だれか暇な人おらんかね　ってもそこまで激しく行きたくないけど、課題あるし。","1"
